Entity,Week_Num,Week_Start,Week_End,Total_Net,Total_Inflow,Total_Outflow,Outflow_Abs,Transaction_Count,Inflow_Count,Outflow_Count,Avg_Transaction,Avg_Inflow,Avg_Outflow,Max_Transaction,Min_Transaction,Cat_AP_Net,Cat_AP_Count,Cat_Payroll_Net,Cat_Payroll_Count,Cat_Bank_charges_Net,Cat_Bank_charges_Count,Cat_Custom_and_Duty_Net,Cat_Custom_and_Duty_Count,Cat_Other_receipt_Net,Cat_Other_receipt_Count,Cat_AR_Net,Cat_AR_Count,Cat_Non_Netting_AP_Net,Cat_Non_Netting_AP_Count,Cat_Loan_payment_Net,Cat_Loan_payment_Count,Cat_Tax_payable_Net,Cat_Tax_payable_Count,Cat_Statutory_contribution_Net,Cat_Statutory_contribution_Count,Cat_Interest_income_Net,Cat_Interest_income_Count,Cat_Other_Net,Cat_Other_Count,Cat_Interest_charges_Net,Cat_Interest_charges_Count,Cat_Loan_payment_and_interest_charges_Net,Cat_Loan_payment_and_interest_charges_Count,Cat_Loan_receipt_Net,Cat_Loan_receipt_Count,Cat_Dividend_payout_Net,Cat_Dividend_payout_Count,Cat_Netting_AP_Net,Cat_Netting_AP_Count,Cat_Netting_AR_Net,Cat_Netting_AR_Count,Cat_Non_Netting_AR_Net,Cat_Non_Netting_AR_Count,PK40_Amount,PK50_Amount,PK40_Count,PK50_Count,Month,Week_of_Month,Is_Month_End,Quarter,Net_Lag1,Inflow_Lag1,Outflow_Lag1,Net_Lag2,Inflow_Lag2,Outflow_Lag2,Net_Lag4,Inflow_Lag4,Outflow_Lag4,Net_Rolling4_Mean,Net_Rolling4_Std,Cumulative_Net
ID10,1,2025-01-01,2025-01-07,-57652.35995,1.27965,-57653.639599999995,57653.639599999995,136,1,134,-423.9144113970588,1.27965,-430.2510417910447,1.27965,-23926.29,-48725.75649,119,0.0,0,0.0,0,-8828.34,1,1.27965,1,0.0,0,0.0,0,0.0,0,-99.54311000000001,15,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.27965,-57653.639599999995,1,135,1,1,False,1,,,,,,,,,,-57652.35995,,-57652.35995
ID10,2,2025-01-08,2025-01-14,-57822.36279000001,2.42242,-57824.78521,57824.78521,371,1,370,-155.85542530997307,2.42242,-156.28320327027026,2.42242,-15613.62,-30174.844119999994,343,-7.5621,1,-441.8104,2,-15669.699900000001,2,2.42242,1,0.0,0,0.0,0,0.0,0,-11530.86869,22,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.42242,-57824.78521,1,370,1,2,False,1,-57652.35995,1.27965,-57653.639599999995,,,,,,,-57737.36137,120.21016098498008,-115474.72274
ID10,3,2025-01-15,2025-01-21,-5871.314779999998,107716.15766000001,-113587.47244000001,113587.47244000001,473,5,468,-12.41292765327695,21543.231532,-242.70827444444447,82803.49,-70762.9,-21923.38815,454,-70762.9,1,-847.41,1,-20017.079999999998,3,636.6976599999999,3,107079.46,2,0.0,0,0.0,0,-36.69429,9,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,107716.15766000001,-113587.47244000001,5,468,1,3,False,1,-57822.36279000001,2.42242,-57824.78521,-57652.35995,1.27965,-57653.639599999995,,,,-40448.67917333333,29944.99660266167,-121346.03752
ID10,4,2025-01-22,2025-01-28,-358673.4818900001,68295.82752,-426969.3094100001,426969.3094100001,330,5,325,-1086.8893390606063,13659.165504,-1313.7517212615387,48870.82,-402027.71,-13297.895479999997,319,-5697.83,1,-0.88827,1,-5316.68,1,428.70752,3,0.0,0,0.0,0,0.0,0,-28.96566,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,18996.3,1,0.0,0,-402627.05000000005,2,48870.82,1,0.0,0,68295.82752,-426969.3094100001,5,325,1,4,True,1,-5871.314779999998,107716.15766000001,-113587.47244000001,-57822.36279000001,2.42242,-57824.78521,,,,-120004.87985250003,160979.9930023531,-480019.5194100001
ID10,5,2025-01-29,2025-02-04,378982.86129,466609.00898,-87626.14769,87626.14769,333,9,324,1138.0866705405404,51845.44544222222,-270.45107311728395,163627.56,-24152.85,-47174.4938,307,0.0,0,0.0,0,-25227.152000000002,4,112.91897999999999,5,466496.08999999997,4,0.0,0,0.0,0,-45.78189,12,0.0,0,0.0,0,0.0,0,0.0,0,-15178.72,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,466609.00898,-87626.14769,9,324,1,5,True,1,-358673.4818900001,68295.82752,-426969.3094100001,-5871.314779999998,107716.15766000001,-113587.47244000001,-57652.35995,1.27965,-57653.639599999995,-10846.074542500035,302865.21997228946,-101036.65812000015
ID10,6,2025-02-05,2025-02-11,-85751.79865000001,1.31397,-85753.11262,85753.11262,376,2,373,-228.06329428191492,0.656985,-229.90110621983914,1.24764,-14272.47,-54268.955819999996,341,0.0,0,0.0,0,-18920.51,4,1.31397,2,0.0,0,0.0,0,0.0,0,-12563.646799999999,29,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.31397,-85753.11262,2,374,2,1,False,1,378982.86129,466609.00898,-87626.14769,-358673.4818900001,68295.82752,-426969.3094100001,-57822.36279000001,2.42242,-57824.78521,-17828.43350750004,304626.05869397876,-186788.45677000016
ID10,7,2025-02-12,2025-02-18,88869.05863999994,150148.1,-61279.04136,61279.04136,437,2,435,203.3616902517161,75074.05,-140.87135944827588,148817.06,-14321.77,-41084.028920000004,411,-7.62682,1,-796.94951,2,-19168.190000000002,3,1331.04,1,148817.06,1,0.0,0,0.0,0,-222.24611,18,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,150148.1,-61279.04136,2,435,2,2,False,1,-85751.79865000001,1.31397,-85753.11262,378982.86129,466609.00898,-87626.14769,-5871.314779999998,107716.15766000001,-113587.47244000001,5856.659847499945,309509.58760574996,-97919.39813000022
ID10,8,2025-02-19,2025-02-25,-236843.46889,233357.56,-470201.02888999996,470201.02888999996,172,3,169,-1376.9969121511626,77785.85333333333,-2782.2546088165677,181879.42,-196439.56,-44763.65165,149,-46534.9612,3,-0.79116,1,-2343.21,1,0.0,0,0.0,0,0.0,0,0.0,0,-184.86487999999997,12,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,181879.42,1,0.0,0,-376373.55,3,51478.14,2,0.0,0,233357.56,-470201.02888999996,3,169,2,3,False,1,88869.05863999994,150148.1,-61279.04136,-85751.79865000001,1.31397,-85753.11262,-358673.4818900001,68295.82752,-426969.3094100001,36314.16309749998,264385.47911259317,-334762.86702000024
ID10,9,2025-02-26,2025-03-04,287091.04196,516995.84667999996,-229904.80472000001,229904.80472000001,385,7,376,745.6910180779221,73856.54952571428,-611.4489487234043,193332.81,-153855.84,-35877.078330000004,366,0.0,0,-403.36,1,-39745.21108000001,7,31.92668,3,516963.92,4,0.0,0,0.0,0,-23.31531,3,0.0,0,0.0,0,0.0,0,0.0,0,-153855.84,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,516995.84667999996,-229904.80472,7,378,2,4,True,1,-236843.46889,233357.56,-470201.02888999996,88869.05863999994,150148.1,-61279.04136,378982.86129,466609.00898,-87626.14769,13341.208264999987,225872.54837844308,-47671.82506000018
ID10,10,2025-03-05,2025-03-11,-46481.694619999995,24.3952,-46506.08982,46506.08982,250,2,248,-185.92677847999997,12.1976,-187.52455572580647,23.93226,-12403.55,-26539.814829999996,215,0.0,0,0.0,0,-10276.02,2,24.3952,2,0.0,0,0.0,0,0.0,0,-9690.254989999996,31,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,24.3952,-46506.08982,2,248,3,1,False,1,287091.04196,516995.84667999996,-229904.80472000001,-236843.46889,233357.56,-470201.02888999996,-85751.79865000001,1.31397,-85753.11262,23158.73427249999,220929.13249532942,-94153.51968000017
